province,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
甘肃省,2013-01-01,14.27,17.51,4.97,4.51,0.39,58.89,2.33,-0.71,263.09,42.64,78533.23,30,一级
甘肃省,2013-01-02,15.67,19.74,9.08,5.23,0.45,48.65,-2.18,-0.13,259.36,53.54,79085.16,25,一级
甘肃省,2013-01-03,19.08,23.24,10.31,6.07,0.4,47.52,-1.52,1.74,259.2,54.74,79103.39,28,一级
甘肃省,2013-01-04,26.35,31.84,11.5,6.35,0.46,50.83,0.12,1.14,260.47,55.48,78665.77,38,一级
甘肃省,2013-01-05,28.09,32.84,10.88,5.9,0.44,52.44,1.81,0.05,261.68,49.79,78693.87,41,一级
甘肃省,2013-01-06,30.42,34.36,10.01,6.67,0.46,50.85,2.24,-0.37,262.42,50.8,78763.76,44,一级
甘肃省,2013-01-07,24.44,28.31,6.94,6.41,0.43,53.95,2.15,-1.01,263.14,44.97,78754.87,35,一级
甘肃省,2013-01-08,16.8,19.84,6.02,5.68,0.37,54.93,1.02,-0.64,262.19,44.51,78958.31,28,一级
甘肃省,2013-01-09,21.09,25.62,7.68,5.88,0.43,57.63,2.44,1.5,263.89,37.44,78708.05,31,一级
甘肃省,2013-01-10,35.12,39.6,10.08,5.64,0.53,55.54,4.53,-0.35,264.22,40.41,78788.69,51,二级
甘肃省,2013-01-11,16.78,21.61,5.98,4.76,0.41,60.82,3.14,0.42,265.76,26.4,78913.05,31,一级
甘肃省,2013-01-12,23.88,28.68,7.3,5.23,0.42,59.6,3.23,1.46,267.55,25.54,78530.16,35,一级
甘肃省,2013-01-13,26.54,30.63,8.63,5.38,0.42,53.95,2.53,0.45,267.62,28.45,78456.44,38,一级
甘肃省,2013-01-14,31.7,39.0,9.57,5.87,0.49,53.15,3.43,-1.02,264.87,52.35,78886.65,46,一级
甘肃省,2013-01-15,13.03,19.46,5.25,4.65,0.37,56.91,2.01,-0.31,266.01,44.03,78987.52,29,一级
甘肃省,2013-01-16,14.25,18.75,6.15,5.08,0.36,57.8,-0.37,0.42,267.12,35.56,79156.66,29,一级
甘肃省,2013-01-17,19.79,24.98,9.37,6.23,0.43,52.97,0.56,2.02,267.32,36.87,79243.64,29,一级
甘肃省,2013-01-18,36.3,42.71,12.29,6.76,0.53,52.65,1.31,1.87,268.74,38.21,78968.21,52,二级
甘肃省,2013-01-19,39.26,45.28,13.05,6.52,0.58,49.96,1.5,0.89,267.58,50.3,78464.56,56,二级
甘肃省,2013-01-20,18.49,21.05,6.65,4.15,0.48,54.86,2.04,-1.99,263.62,60.82,78908.47,28,一级
甘肃省,2013-01-21,15.06,16.75,5.28,4.58,0.37,59.71,1.13,0.11,264.89,56.6,78984.55,30,一级
甘肃省,2013-01-22,16.83,18.38,5.56,5.16,0.32,57.3,5.27,0.11,265.55,53.08,78960.13,29,一级
甘肃省,2013-01-23,13.54,15.39,4.52,4.2,0.29,59.4,4.13,-1.42,266.46,37.14,78937.62,30,一级
甘肃省,2013-01-24,8.39,12.61,3.89,3.69,0.28,59.74,2.61,-0.14,266.04,36.15,79101.22,30,一级
甘肃省,2013-01-25,13.29,16.57,4.68,4.91,0.33,59.98,3.82,-1.1,267.15,35.15,79036.2,30,一级
甘肃省,2013-01-26,13.8,16.2,5.06,5.41,0.33,61.99,2.99,-0.74,268.06,33.18,79106.89,31,一级
甘肃省,2013-01-27,17.07,19.79,6.53,5.76,0.35,62.27,2.71,0.96,268.77,32.42,79092.64,32,一级
甘肃省,2013-01-28,23.25,26.75,8.33,5.96,0.42,59.21,2.99,0.58,269.58,34.68,78786.18,34,一级
甘肃省,2013-01-29,24.77,28.69,9.2,5.94,0.43,54.34,3.66,0.93,269.27,44.11,78755.53,36,一级
甘肃省,2013-01-30,22.17,25.83,7.87,5.71,0.38,53.43,4.14,1.91,270.87,40.07,78476.2,32,一级
甘肃省,2013-01-31,16.08,20.94,5.86,4.16,0.3,54.94,3.31,-0.66,269.6,43.4,78671.6,28,一级
甘肃省,2013-02-01,11.74,15.4,5.03,3.96,0.28,56.26,1.93,-0.26,269.52,43.11,79073.84,29,一级
甘肃省,2013-02-02,19.85,23.99,8.93,5.58,0.34,52.76,0.78,2.49,270.79,44.03,78755.16,29,一级
甘肃省,2013-02-03,23.83,26.98,8.18,5.31,0.37,55.52,2.39,-0.11,272.21,41.44,78483.11,35,一级
甘肃省,2013-02-04,15.38,18.38,6.71,4.96,0.32,51.89,0.74,0.92,271.27,40.16,78582.43,26,一级
甘肃省,2013-02-05,11.79,15.2,5.48,4.55,0.26,50.73,0.57,-0.46,272.24,32.32,78907.23,26,一级
甘肃省,2013-02-06,15.17,18.74,6.79,4.39,0.29,49.3,-1.24,0.47,271.44,40.26,78718.91,25,一级
甘肃省,2013-02-07,21.51,26.29,11.72,5.62,0.31,45.35,0.81,-0.75,266.23,60.69,79057.73,31,一级
甘肃省,2013-02-08,18.97,21.91,7.48,4.46,0.28,55.82,3.95,0.05,265.77,64.16,79098.74,28,一级
甘肃省,2013-02-09,18.69,22.36,6.49,4.32,0.3,64.7,3.9,1.64,269.4,38.74,78561.83,33,一级
甘肃省,2013-02-10,25.36,31.37,7.79,3.89,0.34,58.76,1.53,-0.66,267.2,52.45,78678.39,37,一级
甘肃省,2013-02-11,20.79,29.46,8.3,3.84,0.31,55.76,1.64,-1.99,263.72,58.38,79117.65,30,一级
甘肃省,2013-02-12,11.59,15.45,5.13,3.18,0.24,56.28,3.02,0.15,264.82,42.01,79054.28,29,一级
甘肃省,2013-02-13,20.29,25.07,7.5,3.48,0.33,56.94,2.61,-0.56,265.71,49.67,78683.07,29,一级
甘肃省,2013-02-14,13.43,16.79,5.82,2.92,0.24,60.26,1.1,-1.36,264.66,52.09,78856.74,31,一级
甘肃省,2013-02-15,14.05,18.24,6.12,3.49,0.28,58.47,3.56,2.22,268.43,37.43,78533.65,30,一级
甘肃省,2013-02-16,24.63,30.12,8.63,3.72,0.34,58.71,2.72,-0.46,268.22,44.66,78410.57,36,一级
甘肃省,2013-02-17,11.73,16.23,5.76,2.88,0.23,59.05,-1.03,-1.48,264.76,43.13,78504.74,30,一级
甘肃省,2013-02-18,12.77,15.59,6.61,3.6,0.23,59.46,-0.53,-1.05,262.56,55.2,78685.34,30,一级
甘肃省,2013-02-19,19.25,21.65,6.07,3.98,0.28,61.14,2.67,0.42,265.85,44.87,78780.98,31,一级
甘肃省,2013-02-20,25.14,27.69,6.07,4.4,0.31,61.53,1.6,-0.01,267.04,45.11,78981.74,36,一级
甘肃省,2013-02-21,20.84,23.71,6.44,4.84,0.31,60.42,1.83,-0.18,267.2,47.1,79245.94,31,一级
甘肃省,2013-02-22,13.92,16.37,5.39,4.27,0.28,60.45,1.56,1.24,270.93,35.59,79106.49,31,一级
甘肃省,2013-02-23,22.02,25.41,7.42,4.26,0.31,59.01,0.31,2.32,272.78,42.17,78888.32,32,一级
甘肃省,2013-02-24,29.22,34.26,8.44,4.21,0.33,56.55,3.47,1.0,273.61,40.43,78762.65,42,一级
甘肃省,2013-02-25,20.05,40.28,4.66,3.44,0.24,54.87,0.32,-0.73,273.49,31.56,78977.16,41,一级
甘肃省,2013-02-26,20.85,32.04,6.73,4.73,0.3,54.78,-0.06,0.58,273.97,34.44,78896.62,33,一级
甘肃省,2013-02-27,32.44,42.12,9.99,5.46,0.35,55.46,0.9,0.58,275.02,38.98,78570.94,47,一级
甘肃省,2013-02-28,21.98,33.96,4.44,2.65,0.22,59.52,-3.34,-2.06,270.31,35.09,78610.88,34,一级
甘肃省,2013-03-01,23.44,50.84,5.12,3.26,0.22,55.82,-0.86,-0.11,268.42,30.73,79051.27,51,二级
甘肃省,2013-03-02,22.6,34.05,5.13,3.7,0.23,53.24,3.6,-1.09,271.17,30.5,79559.76,35,一级
甘肃省,2013-03-03,14.92,20.32,3.51,3.69,0.22,59.53,3.55,-0.75,274.31,22.35,79487.74,30,一级
甘肃省,2013-03-04,16.17,21.53,4.86,4.39,0.24,62.56,3.4,0.95,276.98,20.86,79134.04,32,一级
甘肃省,2013-03-05,25.36,32.62,5.67,4.36,0.24,62.69,4.69,-0.42,277.38,23.23,79083.69,37,一级
甘肃省,2013-03-06,24.58,45.34,2.43,2.44,0.19,64.26,4.45,-2.75,276.91,23.77,79381.35,46,一级
甘肃省,2013-03-07,20.93,31.02,3.12,3.41,0.22,66.18,5.93,-0.45,280.76,15.09,79122.99,34,一级
甘肃省,2013-03-08,26.33,33.65,4.81,3.79,0.25,70.91,4.59,0.61,282.46,15.97,78619.44,38,一级
甘肃省,2013-03-09,54.31,73.99,3.4,2.28,0.21,63.16,-1.61,-2.66,275.42,30.02,78836.71,75,二级
甘肃省,2013-03-10,50.39,87.48,5.32,3.5,0.24,56.52,-2.44,1.79,275.75,29.32,78590.77,70,二级
甘肃省,2013-03-11,51.48,95.19,6.72,3.35,0.27,55.27,1.87,0.07,274.79,40.49,78515.32,73,二级
甘肃省,2013-03-12,39.18,69.15,3.0,2.24,0.2,57.89,2.55,-3.14,275.04,29.26,78780.38,60,二级
甘肃省,2013-03-13,24.91,51.64,4.43,3.68,0.22,56.56,-0.54,0.82,276.68,26.64,78819.99,51,二级
甘肃省,2013-03-14,32.65,63.24,8.38,4.56,0.28,57.1,-1.3,1.93,278.09,36.43,78809.08,57,二级
甘肃省,2013-03-15,31.44,54.53,9.09,4.08,0.29,58.86,-0.43,0.95,278.29,42.15,78760.6,53,二级
甘肃省,2013-03-16,28.07,40.03,9.79,3.65,0.3,62.63,0.83,-1.54,277.06,49.81,79038.19,41,一级
甘肃省,2013-03-17,17.66,21.94,4.27,2.25,0.21,73.01,2.88,-4.46,276.82,38.81,79083.45,37,一级
甘肃省,2013-03-18,22.87,30.88,2.89,2.62,0.22,79.59,4.75,-2.36,278.08,25.76,78641.16,40,一级
甘肃省,2013-03-19,22.0,30.57,3.13,2.51,0.22,81.17,3.7,-2.75,278.71,25.49,78438.74,41,一级
甘肃省,2013-03-20,18.66,31.84,3.33,2.73,0.21,77.68,1.63,1.17,279.46,23.85,78676.66,39,一级
甘肃省,2013-03-21,19.14,27.43,5.24,2.95,0.22,71.78,3.25,-0.93,279.42,32.84,78309.09,36,一级
甘肃省,2013-03-22,15.01,20.38,3.49,2.56,0.19,73.81,2.38,-1.99,277.76,40.11,78696.05,37,一级
甘肃省,2013-03-23,23.84,31.29,3.6,3.06,0.21,78.72,-0.2,-0.5,278.51,28.76,78661.21,40,一级
甘肃省,2013-03-24,26.26,35.17,4.99,3.12,0.21,67.92,0.48,-0.02,278.37,26.62,78611.49,38,一级
甘肃省,2013-03-25,23.1,35.19,5.45,3.07,0.22,71.89,2.17,-3.16,275.99,44.63,78762.11,36,一级
甘肃省,2013-03-26,11.2,18.8,2.88,2.87,0.19,83.19,2.53,-1.06,278.79,20.83,78733.7,42,一级
甘肃省,2013-03-27,18.81,25.6,4.53,2.91,0.22,76.17,2.88,-1.06,279.8,26.93,78640.78,39,一级
甘肃省,2013-03-28,16.37,21.55,3.49,2.62,0.2,71.57,1.64,-1.97,279.97,31.63,78859.0,36,一级
甘肃省,2013-03-29,17.45,24.26,5.38,3.0,0.23,70.57,2.22,-1.08,280.27,34.98,78719.75,36,一级
甘肃省,2013-03-30,14.82,20.25,4.63,2.48,0.21,72.72,0.22,-0.65,280.69,34.69,78776.68,37,一级
甘肃省,2013-03-31,21.2,29.72,6.71,2.98,0.25,73.48,1.3,-0.46,280.79,41.83,78800.74,37,一级
甘肃省,2013-04-01,23.86,26.74,3.0,2.06,0.19,67.84,-3.34,0.03,279.67,33.29,78973.49,35,一级
甘肃省,2013-04-02,28.99,34.9,5.77,3.4,0.21,67.81,-2.29,1.89,279.86,37.99,78604.41,42,一级
甘肃省,2013-04-03,32.72,36.93,6.21,2.77,0.23,67.68,1.61,-0.57,279.29,45.11,78336.3,47,一级
甘肃省,2013-04-04,38.98,46.63,3.6,1.97,0.18,70.68,2.34,-4.44,273.16,55.79,78609.82,55,二级
甘肃省,2013-04-05,19.28,20.62,1.55,1.32,0.14,81.35,1.5,-4.29,271.31,34.29,79069.04,41,一级
甘肃省,2013-04-06,14.07,16.76,2.21,2.51,0.15,83.59,3.27,-0.55,275.21,24.46,78613.95,42,一级
甘肃省,2013-04-07,33.02,37.21,2.49,2.1,0.15,78.6,5.04,-3.71,275.42,33.55,78439.86,48,一级
甘肃省,2013-04-08,26.64,31.81,1.6,1.44,0.14,77.77,0.01,-4.19,272.71,33.39,78939.61,39,一级
甘肃省,2013-04-09,12.79,14.77,1.67,1.83,0.15,81.49,-0.24,-2.31,274.1,19.77,79225.72,41,一级
甘肃省,2013-04-10,12.11,14.2,2.08,2.33,0.15,80.19,-0.31,-0.74,277.01,20.63,79171.15,41,一级
甘肃省,2013-04-11,11.65,14.26,2.92,2.51,0.16,81.85,-0.29,-0.72,279.23,24.76,79126.46,41,一级
甘肃省,2013-04-12,13.07,16.64,3.76,2.63,0.17,80.81,0.07,-0.44,280.48,26.42,79253.86,41,一级
甘肃省,2013-04-13,16.04,17.99,2.6,2.15,0.15,85.39,3.93,-1.88,282.23,19.55,79020.94,43,一级
甘肃省,2013-04-14,22.46,25.69,2.42,2.38,0.15,86.03,4.76,-0.9,284.18,12.29,78723.33,44,一级
甘肃省,2013-04-15,34.86,40.0,4.17,2.41,0.17,77.31,4.31,-2.08,283.65,24.04,78449.76,50,一级
甘肃省,2013-04-16,26.75,31.35,2.31,2.36,0.15,78.99,2.39,-0.96,285.14,21.81,78245.22,40,一级
甘肃省,2013-04-17,40.88,48.09,4.2,2.6,0.17,81.69,-2.82,1.05,285.66,24.16,77991.52,58,二级
甘肃省,2013-04-18,98.47,127.13,7.47,2.71,0.21,70.48,-4.4,1.73,281.02,40.98,78185.52,130,三级
甘肃省,2013-04-19,86.12,94.31,6.15,3.07,0.2,61.35,-0.86,-0.72,279.82,40.29,78465.04,114,三级
甘肃省,2013-04-20,52.9,61.39,5.83,3.42,0.2,60.65,-0.27,0.61,280.25,36.34,78730.6,73,二级
甘肃省,2013-04-21,37.48,43.37,6.72,2.88,0.21,68.75,-0.05,0.93,281.32,39.96,78603.72,54,二级
甘肃省,2013-04-22,35.34,38.04,5.65,2.16,0.2,73.32,2.78,-2.77,280.93,43.99,78697.94,51,二级
甘肃省,2013-04-23,34.21,37.9,2.71,1.79,0.15,78.28,0.3,-2.32,281.7,32.62,79014.12,49,一级
甘肃省,2013-04-24,21.63,26.35,2.58,2.23,0.15,82.11,-1.21,-0.24,283.49,24.59,79002.85,42,一级
甘肃省,2013-04-25,15.71,18.91,2.89,2.45,0.15,83.08,-1.71,0.82,285.81,19.07,78945.4,42,一级
甘肃省,2013-04-26,19.61,26.47,5.09,3.33,0.18,82.99,1.21,1.53,287.96,20.5,78610.34,42,一级
甘肃省,2013-04-27,28.13,33.01,5.47,2.21,0.18,80.5,1.57,-1.73,287.14,29.91,78554.74,41,一级
甘肃省,2013-04-28,68.6,71.43,2.83,1.96,0.15,66.52,-4.83,-0.95,285.59,35.18,78745.06,92,二级
甘肃省,2013-04-29,81.19,81.94,2.95,1.9,0.15,71.71,-4.61,0.66,283.17,45.84,78812.98,108,三级
甘肃省,2013-04-30,45.87,47.62,3.96,2.1,0.17,75.3,-2.05,0.45,284.24,45.67,78891.19,64,二级
甘肃省,2013-05-01,28.17,31.03,5.03,2.36,0.18,78.25,-2.17,-0.41,285.13,43.47,78713.45,41,一级
甘肃省,2013-05-02,29.75,32.43,4.58,2.32,0.18,74.99,-2.13,-2.49,285.38,37.29,78727.99,43,一级
甘肃省,2013-05-03,30.05,33.89,3.89,2.68,0.17,73.65,-3.37,0.09,285.7,30.14,78738.58,43,一级
甘肃省,2013-05-04,38.57,45.52,8.12,2.91,0.21,77.37,-3.69,4.56,285.98,39.64,78440.09,55,二级
甘肃省,2013-05-05,41.99,45.56,8.82,2.38,0.23,75.76,-1.03,0.96,284.68,55.18,78542.45,59,二级
甘肃省,2013-05-06,41.47,44.3,6.9,2.35,0.22,75.67,0.48,-1.88,284.29,54.3,78790.76,59,二级
甘肃省,2013-05-07,32.22,35.07,6.75,2.4,0.22,79.73,-0.27,-1.75,283.27,51.81,78937.84,47,一级
甘肃省,2013-05-08,24.31,26.18,4.8,2.04,0.18,87.26,0.27,-3.21,280.68,51.33,79077.31,44,一级
甘肃省,2013-05-09,23.49,25.44,1.85,1.9,0.14,102.68,-0.91,-1.71,282.35,25.52,79070.52,53,二级
甘肃省,2013-05-10,13.93,18.04,2.04,2.26,0.15,106.94,1.43,-0.2,285.27,17.86,78790.87,56,二级
甘肃省,2013-05-11,16.73,20.8,2.31,2.22,0.15,101.47,2.17,-1.19,287.2,18.56,78508.4,52,二级
甘肃省,2013-05-12,29.63,35.11,3.63,2.34,0.17,90.52,-0.19,-0.88,287.32,25.33,78443.67,46,一级
甘肃省,2013-05-13,53.15,59.27,5.55,2.32,0.19,80.22,-3.11,0.08,287.14,28.89,78348.71,73,二级
甘肃省,2013-05-14,62.68,66.71,5.91,2.61,0.19,73.28,-3.91,0.12,285.47,46.58,78422.54,85,二级
甘肃省,2013-05-15,52.79,55.86,7.2,2.93,0.21,73.51,-0.29,0.04,283.78,60.22,78558.09,73,二级
甘肃省,2013-05-16,29.95,32.36,5.24,2.2,0.19,82.87,1.46,-1.83,282.61,56.71,78916.71,43,一级
甘肃省,2013-05-17,17.33,20.21,3.02,1.97,0.16,90.87,1.83,-0.2,284.21,43.06,78770.55,46,一级
甘肃省,2013-05-18,23.54,26.73,2.91,2.16,0.16,88.8,3.27,-1.66,285.76,37.93,78622.49,45,一级
甘肃省,2013-05-19,24.38,32.99,2.08,1.96,0.14,87.56,1.92,-0.72,287.13,29.68,78588.07,44,一级
甘肃省,2013-05-20,17.82,24.23,2.45,2.44,0.16,88.9,3.37,0.73,290.48,24.5,78271.39,45,一级
甘肃省,2013-05-21,26.52,33.51,3.51,1.98,0.17,84.13,2.66,-0.79,290.75,29.58,78402.63,43,一级
甘肃省,2013-05-22,24.97,26.99,2.21,1.74,0.15,80.47,1.12,-1.81,290.17,32.36,78643.39,41,一级
甘肃省,2013-05-23,31.41,38.49,3.7,2.23,0.17,79.46,-0.48,-0.92,287.32,44.68,78971.14,45,一级
甘肃省,2013-05-24,25.2,30.24,4.27,1.94,0.17,81.0,-0.48,0.45,287.24,44.68,78849.15,41,一级
甘肃省,2013-05-25,26.08,32.12,5.18,2.55,0.19,81.05,0.53,-0.12,288.51,43.0,78436.76,41,一级
甘肃省,2013-05-26,27.16,32.25,4.01,2.16,0.18,79.49,-0.68,-1.38,288.88,37.36,78381.14,40,一级
甘肃省,2013-05-27,32.81,43.09,5.0,2.07,0.19,77.16,-1.69,-1.3,286.43,47.55,78563.81,47,一级
甘肃省,2013-05-28,25.28,26.48,2.73,1.65,0.14,74.61,-1.82,-4.02,282.55,50.13,79073.46,38,一级
甘肃省,2013-05-29,25.06,27.02,2.15,1.99,0.14,81.41,-0.93,-0.32,283.65,32.99,79114.91,41,一级
甘肃省,2013-05-30,21.21,24.81,2.44,2.39,0.15,84.11,1.7,-0.79,285.73,33.25,78865.15,43,一级
甘肃省,2013-05-31,28.9,32.29,2.11,2.08,0.14,79.09,2.29,-1.56,287.62,30.78,78721.08,42,一级
甘肃省,2013-06-01,29.49,33.71,1.87,2.17,0.14,79.46,2.51,-1.22,289.8,25.74,78668.68,43,一级
甘肃省,2013-06-02,26.2,32.03,2.7,2.52,0.16,82.22,2.42,0.55,291.75,24.02,78539.99,42,一级
甘肃省,2013-06-03,23.86,30.28,5.54,2.48,0.18,86.35,0.41,1.84,293.13,26.07,78351.48,44,一级
甘肃省,2013-06-04,25.58,34.34,5.52,2.61,0.18,82.7,-0.29,2.1,293.64,28.55,78374.3,42,一级
甘肃省,2013-06-05,26.68,30.64,5.77,2.22,0.18,81.42,0.08,0.55,292.56,38.42,78572.84,41,一级
甘肃省,2013-06-06,26.92,32.91,3.87,2.18,0.17,82.98,-1.49,-0.35,292.55,38.93,78545.65,42,一级
甘肃省,2013-06-07,32.99,38.84,3.89,2.11,0.17,78.56,-0.45,-0.49,290.12,48.77,78527.59,48,一级
甘肃省,2013-06-08,29.8,32.05,3.05,1.78,0.15,74.96,1.57,-3.48,284.41,63.0,78828.07,43,一级
甘肃省,2013-06-09,28.38,29.39,1.9,1.55,0.13,81.8,2.02,-3.98,283.34,51.34,79157.17,41,一级
甘肃省,2013-06-10,16.72,17.61,1.65,1.68,0.12,99.18,1.63,-2.21,285.81,28.73,78995.34,50,一级
甘肃省,2013-06-11,11.89,14.84,2.24,2.24,0.13,98.38,0.63,-0.08,288.89,20.8,78608.99,50,一级
甘肃省,2013-06-12,21.92,27.28,3.91,2.66,0.16,87.75,0.16,1.21,290.52,30.29,78289.52,44,一级
甘肃省,2013-06-13,28.24,32.24,5.2,2.04,0.17,82.92,-0.45,1.25,290.63,41.82,78181.26,42,一级
甘肃省,2013-06-14,29.85,33.97,5.25,1.91,0.17,83.23,-1.73,1.33,290.96,46.16,78212.84,43,一级
甘肃省,2013-06-15,26.9,30.01,5.85,1.96,0.18,81.62,-1.61,0.99,288.26,63.41,78392.95,41,一级
甘肃省,2013-06-16,18.6,20.66,5.11,2.24,0.16,77.39,-1.93,0.12,288.37,60.78,78528.71,39,一级
甘肃省,2013-06-17,19.75,23.25,5.46,2.38,0.16,75.73,-3.5,0.96,289.88,63.05,78284.02,38,一级
甘肃省,2013-06-18,23.97,27.89,6.46,2.38,0.17,75.28,-5.08,0.58,289.33,71.19,78158.9,38,一级
甘肃省,2013-06-19,26.2,30.27,7.13,2.5,0.19,76.84,-4.3,1.05,288.6,75.78,78200.68,39,一级
甘肃省,2013-06-20,26.55,28.69,8.33,3.35,0.2,72.57,-0.76,-0.67,287.2,77.51,78622.65,38,一级
甘肃省,2013-06-21,21.74,23.67,6.34,2.86,0.17,82.35,0.82,-1.54,288.55,58.39,78878.53,42,一级
甘肃省,2013-06-22,18.22,22.55,4.44,2.84,0.16,91.15,1.5,-1.17,290.3,42.41,78746.19,46,一级
甘肃省,2013-06-23,18.65,23.47,4.17,2.43,0.16,95.58,1.55,-0.45,291.43,35.79,78549.08,48,一级
甘肃省,2013-06-24,19.46,23.53,4.03,2.47,0.16,91.57,2.55,-1.24,291.66,40.26,78484.08,46,一级
甘肃省,2013-06-25,18.07,20.98,3.32,2.95,0.18,87.3,3.15,-1.79,291.58,39.14,78548.66,44,一级
甘肃省,2013-06-26,13.78,15.97,2.05,2.48,0.13,88.67,2.81,-1.69,292.25,32.79,78470.59,45,一级
甘肃省,2013-06-27,16.51,21.43,2.73,3.25,0.15,88.98,1.58,0.54,293.6,29.44,78145.79,45,一级
甘肃省,2013-06-28,29.46,36.54,6.65,3.37,0.2,85.65,-0.89,1.7,293.74,36.63,77929.21,43,一级
甘肃省,2013-06-29,33.28,38.11,7.1,2.32,0.19,82.0,-1.24,0.9,293.13,47.21,78099.71,48,一级
甘肃省,2013-06-30,36.78,41.81,5.57,2.41,0.18,75.29,-2.08,0.65,292.54,51.23,78292.25,53,二级
甘肃省,2013-07-01,27.73,36.0,5.08,2.31,0.17,75.37,-1.89,-0.85,292.28,55.98,78274.97,40,一级
甘肃省,2013-07-02,22.62,29.89,5.1,2.38,0.16,74.83,-3.04,0.49,293.02,56.43,78250.57,38,一级
甘肃省,2013-07-03,21.39,25.07,5.94,2.81,0.19,73.69,-0.89,0.66,292.66,63.88,78220.67,37,一级
甘肃省,2013-07-04,17.72,19.19,3.78,2.42,0.15,73.55,0.48,-2.91,293.0,53.95,78392.69,37,一级
甘肃省,2013-07-05,14.76,18.42,2.62,3.16,0.16,71.81,-0.15,-0.85,295.21,36.03,78383.81,36,一级
甘肃省,2013-07-06,16.7,22.72,3.06,3.36,0.18,73.58,-0.57,0.68,295.57,37.08,78254.28,37,一级
甘肃省,2013-07-07,32.98,38.37,4.37,3.1,0.19,72.69,-0.71,-1.15,292.33,50.41,78324.86,48,一级
甘肃省,2013-07-08,27.93,29.69,3.6,2.79,0.16,67.15,-1.53,-2.02,288.92,61.7,78390.68,40,一级
甘肃省,2013-07-09,20.89,22.06,4.21,2.98,0.16,63.82,-0.5,-1.81,287.43,68.7,78351.07,32,一级
甘肃省,2013-07-10,19.52,21.31,4.72,2.8,0.19,69.6,-0.82,-1.32,288.58,63.08,78402.17,35,一级
甘肃省,2013-07-11,20.47,23.51,5.17,3.29,0.23,73.81,-2.63,0.92,290.88,57.8,78512.79,37,一级
甘肃省,2013-07-12,25.26,28.5,6.78,2.99,0.28,78.56,-1.96,0.8,292.15,58.76,78609.19,40,一级
甘肃省,2013-07-13,24.87,28.88,7.31,2.83,0.25,80.52,-1.35,0.6,292.48,61.41,78563.78,41,一级
甘肃省,2013-07-14,22.71,26.68,6.35,2.67,0.24,77.1,0.27,0.27,292.04,62.34,78458.9,39,一级
甘肃省,2013-07-15,19.92,22.45,5.55,2.7,0.19,78.8,-0.48,-1.09,292.75,51.13,78458.47,40,一级
甘肃省,2013-07-16,18.51,25.24,4.89,3.58,0.21,78.7,-0.85,0.65,293.61,40.92,78403.09,40,一级
甘肃省,2013-07-17,24.93,32.39,5.33,3.93,0.21,76.27,0.96,-1.52,290.97,52.34,78428.34,39,一级
甘肃省,2013-07-18,22.05,24.02,3.27,2.62,0.16,77.49,0.65,-2.78,290.88,44.15,78528.86,39,一级
甘肃省,2013-07-19,20.38,23.7,2.84,3.3,0.19,77.89,-0.69,0.22,291.81,38.97,78468.21,39,一级
甘肃省,2013-07-20,22.13,29.15,4.39,3.93,0.21,77.95,0.53,0.66,292.64,42.83,78351.76,39,一级
甘肃省,2013-07-21,29.1,34.99,6.29,3.42,0.21,76.77,0.09,0.16,292.04,49.38,78250.19,42,一级
甘肃省,2013-07-22,25.64,31.3,5.76,3.59,0.23,78.33,-1.91,0.19,293.84,42.38,78143.5,40,一级
甘肃省,2013-07-23,28.88,36.21,5.61,3.63,0.2,74.74,-2.3,1.33,294.23,45.03,78251.19,42,一级
甘肃省,2013-07-24,26.93,31.26,6.02,2.73,0.2,74.31,-0.14,0.52,290.91,63.95,78335.12,39,一级
甘肃省,2013-07-25,19.55,21.82,4.48,2.96,0.18,67.68,-0.4,-0.52,289.89,65.81,78395.02,34,一级
甘肃省,2013-07-26,16.05,17.21,4.14,2.61,0.16,70.51,0.36,0.11,289.66,66.18,78479.09,36,一级
甘肃省,2013-07-27,14.44,15.92,3.58,3.15,0.16,74.54,0.66,-0.81,290.92,56.54,78615.34,38,一级
甘肃省,2013-07-28,13.43,15.62,2.94,3.51,0.18,75.49,2.07,-1.09,291.72,48.28,78714.69,38,一级
甘肃省,2013-07-29,13.35,17.07,2.32,3.32,0.17,76.92,3.11,-0.67,293.25,37.31,78604.8,39,一级
甘肃省,2013-07-30,14.3,19.39,2.72,3.5,0.18,78.84,2.6,-0.4,293.74,35.03,78347.41,40,一级
甘肃省,2013-07-31,21.54,24.66,4.25,2.9,0.2,80.34,2.72,-0.94,292.34,41.64,78292.15,41,一级
甘肃省,2013-08-01,21.24,24.25,3.91,2.95,0.21,80.26,2.61,-1.11,292.66,39.19,78368.84,41,一级
甘肃省,2013-08-02,18.98,22.09,3.55,2.86,0.19,81.87,1.35,-1.07,292.91,36.71,78593.36,41,一级
甘肃省,2013-08-03,16.14,19.25,3.48,2.8,0.2,84.79,-0.85,1.07,294.21,34.31,78583.14,43,一级
甘肃省,2013-08-04,18.92,24.0,5.96,3.27,0.24,82.21,-0.46,1.4,294.88,36.46,78372.04,42,一级
甘肃省,2013-08-05,23.89,29.5,5.35,2.81,0.2,75.62,1.15,-0.42,293.87,41.9,78273.67,38,一级
