province,city,date,PM2.5,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,AQI,AQI_rank
西藏自治区,林芝市,2015-04-10,20.74,23.6,2.52,1.1,0.2,102.46,0.38,1.9,273.4,84.24,66400.72,53,二级
西藏自治区,日喀则市,2015-04-10,5.54,6.3,0.13,0.31,0.12,94.87,7.71,-2.83,266.61,44.89,55330.2,48,一级
西藏自治区,阿里地区,2015-04-10,1.43,1.44,0.1,0.38,0.16,90.75,3.09,-1.99,261.93,56.96,54881.04,46,一级
西藏自治区,那曲地区,2015-04-10,2.35,2.69,0.14,0.24,0.13,91.74,0.44,-2.28,263.61,63.1,55427.39,46,一级
西藏自治区,拉萨市,2015-04-10,5.89,8.55,0.23,1.36,0.18,101.96,2.11,-1.24,268.78,60.22,56418.23,52,二级
西藏自治区,昌都市,2015-04-10,11.85,12.92,1.25,0.59,0.43,94.72,2.62,0.92,267.51,77.64,58969.69,48,一级
西藏自治区,山南市,2015-04-10,17.23,19.2,1.84,1.21,0.19,101.39,3.95,0.74,275.02,66.19,65902.29,52,二级
