Unnamed: 0,time,province,PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon,AQI
0,2018-01-01,广东,72.82073885350319,101.65905732484076,17.555630573248408,33.38670063694268,1.111095541401274,67.00133757961784,-4.224585987261147,-2.2254777070063696,286.9283566878981,60.46431847133758,99612.16658598726,23.3224076433121,113.41785987261149,二级
1,2018-01-02,广东,72.90928662420383,98.3771847133758,12.62076433121019,36.696012738853504,1.1102929936305732,59.89644585987261,-4.60484076433121,-1.4304585987261147,289.44067515923564,67.68913375796178,99550.39615286623,23.3224076433121,113.41785987261149,二级
2,2018-01-03,广东,68.47877707006369,94.68945222929936,13.1208025477707,40.01979617834395,1.1015796178343948,55.98256050955414,-4.453273885350319,-3.383936305732484,290.3775414012739,70.57754140127389,99553.46505732484,23.3224076433121,113.41785987261149,二级
3,2018-01-04,广东,50.416267515923565,70.02727388535033,11.859694267515923,34.303222929936304,0.9316050955414014,48.47754140127389,-3.994738853503185,-2.934114649681529,289.16754140127387,78.31166878980892,99405.1224713376,23.3224076433121,113.41785987261149,二级
4,2018-01-05,广东,29.454700636942672,43.5472101910828,11.162343949044589,29.95617834394904,0.9535031847133758,22.590815286624206,-3.3671210191082803,-5.300216560509554,286.4534267515924,79.29780891719746,99382.95318471338,23.3224076433121,113.41785987261149,一级
5,2018-01-06,广东,18.249974522292995,25.51752866242038,8.925401273885349,25.449108280254777,0.9728152866242038,17.11235668789809,-4.209299363057325,-3.336254777070064,285.7375923566879,88.10374522292994,99181.72138853504,23.3224076433121,113.41785987261149,一级
6,2018-01-07,广东,14.71300636942675,20.834993630573248,7.449503184713375,25.802560509554137,0.9351464968152866,20.76859872611465,-4.112382165605095,-2.5829936305732484,287.660025477707,94.376025477707,99028.1155286624,23.3224076433121,113.41785987261149,一级
7,2018-01-08,广东,14.454649681528664,21.922687898089173,9.21191082802548,21.430738853503183,1.0584331210191082,26.119210191082804,-1.428012738853503,-8.327171974522292,281.88461146496815,87.49371974522293,99396.75351592356,23.3224076433121,113.41785987261149,一级
8,2018-01-09,广东,34.06685350318471,40.78345222929936,9.956140127388537,14.571528662420382,0.9529171974522292,54.043070063694266,-2.9820764331210188,-8.520394904458598,279.72892993630575,50.98332484076433,99996.43787261148,23.3224076433121,113.41785987261149,一级
9,2018-01-10,广东,26.715808917197453,37.96022929936306,9.582089171974522,18.4015923566879,0.677375796178344,55.42746496815286,-4.205974522292994,-8.537847133757962,281.96366878980893,34.1243821656051,100203.6251464968,23.3224076433121,113.41785987261149,一级
